COMPROING	NROCOMPROING	CAJA	RAZÓN
RB	100098232	1000086	FACTURA_NO_ENCONTRADA
RB	100098238	1000086	FACTURA_NO_ENCONTRADA
RR	100098243	1000087	FACTURA_NO_ENCONTRADA
RR	100098243	1000087	FACTURA_NO_ENCONTRADA
RR	100098243	1000087	FACTURA_NO_ENCONTRADA
RB	100098245	1000087	FACTURA_NO_ENCONTRADA
RB	100098245	1000087	FACTURA_NO_ENCONTRADA
RB	100098256	1000087	FACTURA_NO_ENCONTRADA
RB	100098256	1000087	FACTURA_NO_ENCONTRADA
RB	100098260	1000088	FACTURA_NO_ENCONTRADA
RB	100098262	1000088	FACTURA_NO_ENCONTRADA
RB	100098262	1000088	FACTURA_NO_ENCONTRADA
RB	200113802	2000001	FACTURA_NO_ENCONTRADA
RB	200113802	2000001	FACTURA_NO_ENCONTRADA
RB	200113802	2000001	FACTURA_NO_ENCONTRADA
RB	200113806	2000001	FACTURA_NO_ENCONTRADA
RB	200113806	2000001	FACTURA_NO_ENCONTRADA
RB	300035232	3000001	FACTURA_NO_ENCONTRADA
RB	300035232	3000001	FACTURA_NO_ENCONTRADA
RB	300035232	3000001	FACTURA_NO_ENCONTRADA
RB	300035232	3000001	FACTURA_NO_ENCONTRADA
RB	300035233	3000001	FACTURA_NO_ENCONTRADA
RB	300035236	3000001	FACTURA_NO_ENCONTRADA
RB	300035236	3000001	FACTURA_NO_ENCONTRADA
RB	300035236	3000001	FACTURA_NO_ENCONTRADA
RB	300035237	3000001	FACTURA_NO_ENCONTRADA
RB	300035238	3000001	FACTURA_NO_ENCONTRADA
RB	300035238	3000001	FACTURA_NO_ENCONTRADA
RB	300035238	3000001	FACTURA_NO_ENCONTRADA
RB	100098271	1000088	FACTURA_NO_ENCONTRADA
RB	300035239	3000001	FACTURA_NO_ENCONTRADA
RB	300035239	3000001	FACTURA_NO_ENCONTRADA
RB	300035239	3000001	FACTURA_NO_ENCONTRADA
RB	100098273	1000088	FACTURA_NO_ENCONTRADA
RB	100098273	1000088	FACTURA_NO_ENCONTRADA
RB	100098273	1000088	FACTURA_NO_ENCONTRADA
RB	100098274	1000089	FACTURA_NO_ENCONTRADA
RB	100098274	1000089	FACTURA_NO_ENCONTRADA
RB	100098274	1000089	FACTURA_NO_ENCONTRADA
RB	100098274	1000089	FACTURA_NO_ENCONTRADA
RB	100098274	1000089	FACTURA_NO_ENCONTRADA
RB	100098283	1000089	FACTURA_NO_ENCONTRADA
RB	100098286	1000089	FACTURA_NO_ENCONTRADA
RB	100098286	1000089	FACTURA_NO_ENCONTRADA
RB	100098286	1000089	FACTURA_NO_ENCONTRADA
RB	100098288	1000089	FACTURA_NO_ENCONTRADA
RB	100098288	1000089	FACTURA_NO_ENCONTRADA
RB	100098288	1000089	FACTURA_NO_ENCONTRADA
RB	100098288	1000089	FACTURA_NO_ENCONTRADA
RB	100098288	1000089	FACTURA_NO_ENCONTRADA
RB	100098288	1000089	FACTURA_NO_ENCONTRADA
RB	100098288	1000089	FACTURA_NO_ENCONTRADA
RB	100098288	1000089	FACTURA_NO_ENCONTRADA
RB	100098288	1000089	FACTURA_NO_ENCONTRADA
RB	100098288	1000089	FACTURA_NO_ENCONTRADA
RB	100098302	1000089	FACTURA_NO_ENCONTRADA
RB	100098306	1000089	FACTURA_NO_ENCONTRADA
RB	100098306	1000089	FACTURA_NO_ENCONTRADA
RB	100098306	1000089	FACTURA_NO_ENCONTRADA
RB	100098306	1000089	FACTURA_NO_ENCONTRADA
RB	100098306	1000089	FACTURA_NO_ENCONTRADA
RB	100098306	1000089	FACTURA_NO_ENCONTRADA
RB	100098317	1000090	FACTURA_NO_ENCONTRADA
